level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	179	1446	-1	
2	1	1	0	0	0	5	18	174	1387	-1	
3	1	1	1	0	0	5	18	174	1383	-1	
4	1	1	1	1	0	5	18	174	30	-1	
5	1	1	1	1	1	5	18	84	30	31.789484	cooperate’
5	1	1	1	1	2	139	24	40	16	40.980179	[kou'
4	1	1	1	2	0	5	51	174	18	-1	
5	1	1	1	2	1	5	51	99	18	50.925301	cooperative’
5	1	1	1	2	2	121	46	10	30	50.925301	—
5	1	1	1	2	3	138	52	41	16	36.250900	[kau!
4	1	1	1	3	0	138	79	41	15	-1	
5	1	1	1	3	1	138	79	41	15	0.000000	It
4	1	1	1	4	0	5	102	174	27	-1	
5	1	1	1	4	1	5	102	92	27	84.017311	coordinate’
5	1	1	1	4	2	138	107	41	15	0.000000	(Likau'
4	1	1	1	5	0	139	133	40	15	-1	
5	1	1	1	5	1	139	134	13	14	33.385170	sie
5	1	1	1	5	2	156	133	23	15	21.617365	At
4	1	1	1	6	0	6	161	173	16	-1	
5	1	1	1	6	1	6	161	30	16	49.955593	cop!
5	1	1	1	6	2	139	161	40	16	0.000000	[kop
4	1	1	1	7	0	6	189	171	16	-1	
5	1	1	1	7	1	6	189	40	16	46.037823	cope’
5	1	1	1	7	2	139	189	38	16	37.252121	Lixoup
4	1	1	1	8	0	6	217	172	16	-1	
5	1	1	1	8	1	6	221	36	12	96.065918	copy
5	1	1	1	8	2	139	217	39	16	58.463856	['kop
4	1	1	1	9	0	140	243	38	14	-1	
5	1	1	1	9	1	140	243	38	14	44.346775	MED;
4	1	1	1	10	0	6	270	172	17	-1	
5	1	1	1	10	1	6	270	83	17	88.008553	copyright’
5	1	1	1	10	2	139	271	39	16	47.738682	['kop
4	1	1	1	11	0	7	298	172	16	-1	
5	1	1	1	11	1	7	298	37	14	74.288368	core’
5	1	1	1	11	2	139	299	40	15	0.000000	Cko:]
4	1	1	1	12	0	139	325	40	15	-1	
5	1	1	1	12	1	139	325	40	15	39.158371	@-)
4	1	1	1	13	0	7	353	172	16	-1	
5	1	1	1	13	1	7	356	56	11	75.945656	corner’
5	1	1	1	13	2	139	353	40	16	0.000000	(kon
4	1	1	1	14	0	139	381	37	12	-1	
5	1	1	1	14	1	139	386	11	7	95.147415	in
5	1	1	1	14	2	157	381	19	12	95.991013	sth
4	1	1	1	15	0	7	406	172	17	-1	
5	1	1	1	15	1	7	406	105	17	55.372791	corporation”
5	1	1	1	15	2	123	402	9	29	55.233345	—
5	1	1	1	15	3	140	407	39	16	16.304312	[kop
4	1	1	1	16	0	139	434	40	15	-1	
5	1	1	1	16	1	139	434	40	15	12.307835	C1,
4	1	1	1	17	0	7	457	172	28	-1	
5	1	1	1	17	1	7	457	65	28	0.000000	correct"
5	1	1	1	17	2	140	462	39	15	24.008865	Cko're
4	1	1	1	18	0	139	488	40	15	-1	
5	1	1	1	18	1	139	488	40	15	61.033871	Ot
4	1	1	1	19	0	7	510	170	28	-1	
5	1	1	1	19	1	7	510	77	28	65.698296	correlate’
5	1	1	1	19	2	140	516	37	15	21.492764	['kort
4	1	1	1	20	0	7	539	172	25	-1	
5	1	1	1	20	1	7	539	95	25	51.117306	correspond’
5	1	1	1	20	2	140	544	39	15	0.000000	(ikor
4	1	1	1	21	0	139	570	40	15	-1	
5	1	1	1	21	1	139	570	40	15	24.896236	Oxi
4	1	1	1	22	0	7	597	172	17	-1	
5	1	1	1	22	1	7	597	138	17	37.849319	correspondence’,
5	1	1	1	22	2	149	601	30	10	60.642982	kor
4	1	1	1	23	0	141	624	38	14	-1	
5	1	1	1	23	1	141	624	29	14	35.805473	Rs
4	1	1	1	24	0	7	651	172	17	-1	
5	1	1	1	24	1	7	651	121	17	56.680061	corresponding!
5	1	1	1	24	2	140	652	39	15	8.721781	[kor
4	1	1	1	25	0	7	680	172	15	-1	
5	1	1	1	25	1	7	680	72	13	60.061745	corridor’
5	1	1	1	25	2	140	680	39	15	57.850952	('kor
4	1	1	1	26	0	7	707	172	17	-1	
5	1	1	1	26	1	7	707	71	17	28.070141	corrupt”’
5	1	1	1	26	2	139	708	40	15	4.717064	(Cko'r:
4	1	1	1	27	0	139	734	39	15	-1	
5	1	1	1	27	1	139	734	39	15	60.509674	oct
4	1	1	1	28	0	139	761	40	14	-1	
5	1	1	1	28	1	139	767	11	7	87.225250	v.
5	1	1	1	28	2	158	761	21	14	92.337181	Of
4	1	1	1	29	0	7	787	172	15	-1	
5	1	1	1	29	1	7	787	60	14	37.657349	cosmic”
5	1	1	1	29	2	149	788	30	14	53.406212	'kozi
4	1	1	1	30	0	7	816	168	14	-1	
5	1	1	1	30	1	7	818	33	11	91.895569	cost
5	1	1	1	30	2	140	816	35	14	0.000000	Ckpst_
4	1	1	1	31	0	140	843	39	14	-1	
5	1	1	1	31	1	140	843	39	14	59.552261	HARE
4	1	1	1	32	0	7	866	172	27	-1	
5	1	1	1	32	1	7	866	52	27	79.017487	costly!
5	1	1	1	32	2	140	870	39	16	35.763248	['kost
4	1	1	1	33	0	7	892	172	29	-1	
5	1	1	1	33	1	7	892	71	29	48.739204	costume’
5	1	1	1	33	2	140	898	39	15	14.180775	('kost
4	1	1	1	34	0	7	921	171	28	-1	
5	1	1	1	34	1	7	921	63	28	83.649338	cottage’
5	1	1	1	34	2	140	926	38	13	48.283852	[kot
4	1	1	1	35	0	7	953	172	16	-1	
5	1	1	1	35	1	7	953	55	14	20.220423	cotton’
5	1	1	1	35	2	140	954	39	15	5.934534	("kot
4	1	1	1	36	0	7	982	172	15	-1	
5	1	1	1	36	1	7	982	43	13	94.902100	could
5	1	1	1	36	2	148	984	24	11	57.761765	kod
5	1	1	1	36	3	178	982	1	15	57.761765	|
4	1	1	1	37	0	7	1028	172	30	-1	
5	1	1	1	37	1	7	1028	62	30	81.051605	council’
5	1	1	1	37	2	149	1036	30	13	16.857014	‘kaw
4	1	1	1	38	0	7	1056	172	30	-1	
5	1	1	1	38	1	7	1056	65	30	55.912910	counsel!
5	1	1	1	38	2	140	1063	39	15	4.966307	("kaw
4	1	1	1	39	0	141	1089	38	14	-1	
5	1	1	1	39	1	141	1089	38	14	79.383644	ORA
4	1	1	1	40	0	7	1110	172	30	-1	
5	1	1	1	40	1	7	1110	49	30	89.804993	count’
5	1	1	1	40	2	140	1117	39	15	61.840294	(kaon
4	1	1	1	41	0	139	1143	40	15	-1	
