normalized	canonical_entry_id	occurrence_count	sections	verification_status
a/an	SYL-VOCAB-P005-L01	1	part_1_true_exam	ocr_consensus_unreviewed
abandon	SYL-VOCAB-P005-L02	1	part_1_true_exam	ocr_consensus_unreviewed
abdicate	SYL-VOCAB-P088-L05	1	part_3_beyond_syllabus	verified_manual_visual
abdomen	SYL-VOCAB-P071-L08	1	part_2_zero_frequency	verified_manual_visual
abide	SYL-VOCAB-P005-L03	1	part_1_true_exam	ocr_consensus_unreviewed
ability	SYL-VOCAB-P005-L04	1	part_1_true_exam	ocr_consensus_unreviewed
able	SYL-VOCAB-P005-L05	1	part_1_true_exam	ocr_consensus_unreviewed
abnormal	SYL-VOCAB-P005-L06	1	part_1_true_exam	ocr_consensus_unreviewed
aboard	SYL-VOCAB-P005-L07	1	part_1_true_exam	ocr_consensus_unreviewed
abolish	SYL-VOCAB-P005-L08	1	part_1_true_exam	ocr_consensus_unreviewed
abound	SYL-VOCAB-P005-L09	1	part_1_true_exam	ocr_consensus_unreviewed
about	SYL-VOCAB-P005-L10	1	part_1_true_exam	ocr_consensus_unreviewed
above	SYL-VOCAB-P005-L11	1	part_1_true_exam	ocr_consensus_unreviewed
abroad	SYL-VOCAB-P005-L12	1	part_1_true_exam	ocr_consensus_unreviewed
abrupt	SYL-VOCAB-P005-L13	1	part_1_true_exam	ocr_consensus_unreviewed
absence	SYL-VOCAB-P005-L14	1	part_1_true_exam	ocr_consensus_unreviewed
absent	SYL-VOCAB-P071-L09	1	part_2_zero_frequency	ocr_consensus_unreviewed
absolute	SYL-VOCAB-P005-L15	1	part_1_true_exam	ocr_consensus_unreviewed
absorb	SYL-VOCAB-P005-L16	1	part_1_true_exam	ocr_consensus_unreviewed
abstract	SYL-VOCAB-P005-L17	1	part_1_true_exam	ocr_consensus_unreviewed
absurd	SYL-VOCAB-P005-L18	1	part_1_true_exam	ocr_consensus_unreviewed
abundance	SYL-VOCAB-P005-L19	1	part_1_true_exam	ocr_consensus_unreviewed
abundant	SYL-VOCAB-P005-L20	1	part_1_true_exam	ocr_consensus_unreviewed
abuse	SYL-VOCAB-P005-R01	1	part_1_true_exam	ocr_consensus_unreviewed
academia	SYL-VOCAB-P088-L06	1	part_3_beyond_syllabus	ocr_consensus_unreviewed
academic	SYL-VOCAB-P005-R02	1	part_1_true_exam	ocr_consensus_unreviewed
academy	SYL-VOCAB-P005-R03	1	part_1_true_exam	ocr_consensus_unreviewed
accelerate	SYL-VOCAB-P005-R04	1	part_1_true_exam	ocr_consensus_unreviewed
accent	SYL-VOCAB-P071-L10	1	part_2_zero_frequency	ocr_consensus_unreviewed
accept	SYL-VOCAB-P005-R05	1	part_1_true_exam	ocr_consensus_unreviewed
acceptance	SYL-VOCAB-P005-R06	1	part_1_true_exam	ocr_consensus_unreviewed
access	SYL-VOCAB-P005-R07	1	part_1_true_exam	ocr_consensus_unreviewed
accessory	SYL-VOCAB-P071-L11	1	part_2_zero_frequency	verified_manual_visual
accident	SYL-VOCAB-P005-R08	1	part_1_true_exam	ocr_consensus_unreviewed
accidental	SYL-VOCAB-P005-R09	1	part_1_true_exam	ocr_consensus_unreviewed
acclaim	SYL-VOCAB-P005-R10	1	part_1_true_exam	ocr_consensus_unreviewed
accommodate	SYL-VOCAB-P005-R11	1	part_1_true_exam	ocr_consensus_unreviewed
accommodation	SYL-VOCAB-P005-R12	1	part_1_true_exam	ocr_consensus_unreviewed
accompany	SYL-VOCAB-P005-R13	1	part_1_true_exam	ocr_consensus_unreviewed
accomplish	SYL-VOCAB-P005-R14	1	part_1_true_exam	ocr_consensus_unreviewed
accord	SYL-VOCAB-P005-R15	1	part_1_true_exam	ocr_consensus_unreviewed
accordance	SYL-VOCAB-P071-L12	1	part_2_zero_frequency	ocr_consensus_unreviewed
according to	SYL-VOCAB-P005-R16	1	part_1_true_exam	ocr_consensus_unreviewed
accordingly	SYL-VOCAB-P005-R17	1	part_1_true_exam	ocr_consensus_unreviewed
account	SYL-VOCAB-P005-R18	1	part_1_true_exam	ocr_consensus_unreviewed
accountant	SYL-VOCAB-P005-R19	1	part_1_true_exam	ocr_consensus_unreviewed
accumulate	SYL-VOCAB-P005-R20	1	part_1_true_exam	ocr_consensus_unreviewed
accuracy	SYL-VOCAB-P005-R21	1	part_1_true_exam	ocr_consensus_unreviewed
accurate	SYL-VOCAB-P005-R22	1	part_1_true_exam	ocr_consensus_unreviewed
accuse	SYL-VOCAB-P005-R23	1	part_1_true_exam	ocr_consensus_unreviewed
accustom	SYL-VOCAB-P006-L01	1	part_1_true_exam	ocr_consensus_unreviewed
ache	SYL-VOCAB-P071-L13	1	part_2_zero_frequency	ocr_consensus_unreviewed
achieve	SYL-VOCAB-P006-L02	1	part_1_true_exam	ocr_consensus_unreviewed
acid	SYL-VOCAB-P006-L03	1	part_1_true_exam	ocr_consensus_unreviewed
acknowledge	SYL-VOCAB-P006-L04	1	part_1_true_exam	ocr_consensus_unreviewed
acquaintance	SYL-VOCAB-P006-L05	1	part_1_true_exam	ocr_consensus_unreviewed
acquire	SYL-VOCAB-P006-L06	1	part_1_true_exam	ocr_consensus_unreviewed
acquisition	SYL-VOCAB-P006-L07	1	part_1_true_exam	ocr_consensus_unreviewed
acre	SYL-VOCAB-P071-L14	1	part_2_zero_frequency	ocr_consensus_unreviewed
acrobat	SYL-VOCAB-P071-L15	1	part_2_zero_frequency	verified_manual_visual
across	SYL-VOCAB-P006-L08	1	part_1_true_exam	ocr_consensus_unreviewed
act	SYL-VOCAB-P006-L09	1	part_1_true_exam	ocr_consensus_unreviewed
action	SYL-VOCAB-P006-L10	1	part_1_true_exam	ocr_consensus_unreviewed
activate	SYL-VOCAB-P006-L11	1	part_1_true_exam	ocr_consensus_unreviewed
active	SYL-VOCAB-P006-L12	1	part_1_true_exam	ocr_consensus_unreviewed
activity	SYL-VOCAB-P006-L13	1	part_1_true_exam	verified_manual_visual
