id,date,type,item,source_article,source_sentence,meaning,usage,writing_value,tags,review_note,appear_count,last_seen
20260424-001,2026-04-24,单词,similar,bbdc_screenshot_import_2026-04-24.md,achieved similar college grades,相似的；类似的,achieved similar college grades；基础词，写作中可用 `similar to` 或更正式的 `comparable` 替换。,一般,阅读高频,基础词，写作中可用 `similar to` 或更正式的 `comparable` 替换。,1,2026-04-24
20260424-002,2026-04-24,单词,preparation,bbdc_screenshot_import_2026-04-24.md,poor academic preparation,准备情况；基础水平,poor academic preparation；在教育话题中可表示“学术准备 / 基础水平”，比只译成“准备”更准确。,适合,写作友好|议论文常用|教育主题,在教育话题中可表示“学术准备 / 基础水平”，比只译成“准备”更准确。,1,2026-04-24
20260424-003,2026-04-24,词组,lead to sth,bbdc_screenshot_import_2026-04-24.md,leads to racial bias,导致；引起,leads to racial bias；基础因果表达，写作中可替换为 `result in`。,一般,阅读高频|固定搭配|教育主题,基础因果表达，写作中可替换为 `result in`。,1,2026-04-24
20260424-004,2026-04-24,词组,racial bias,bbdc_screenshot_import_2026-04-24.md,leads to racial bias in admissions,种族偏见,leads to racial bias in admissions；讨论社会公平、教育录取时的核心表达。,适合,写作友好|议论文常用|固定搭配|教育主题|社会主题,讨论社会公平、教育录取时的核心表达。,1,2026-04-24
20260424-005,2026-04-24,单词,advocacy,bbdc_screenshot_import_2026-04-24.md,a non-profit advocacy group,倡导；主张,a non-profit advocacy group；典型书面抽象名词，可用于公共议题和社会议题。,适合,写作友好|议论文常用|教育主题,典型书面抽象名词，可用于公共议题和社会议题。,1,2026-04-24
20260424-006,2026-04-24,单词,prevail,bbdc_screenshot_import_2026-04-24.md,GPAs prevailed in predicting on-time graduation,占优势；更有效；胜出,GPAs prevailed in predicting on-time graduation；比 `win` 更书面，常用于“某方法 / 观点占优势”。,适合,写作友好|议论文常用|教育主题,比 `win` 更书面，常用于“某方法 / 观点占优势”。,1,2026-04-24
20260424-007,2026-04-24,词组,a given,bbdc_screenshot_import_2026-04-24.md,more of a given,理所当然的事；不言自明的条件,more of a given；熟词僻义，阅读中要识别，不建议随意写作。,一般,阅读高频|固定搭配|教育主题|熟词僻义,熟词僻义，阅读中要识别，不建议随意写作。,1,2026-04-24
20260424-008,2026-04-24,单词,high-flyer,bbdc_screenshot_import_2026-04-24.md,distinguishing between high-flyers,表现突出的人；优秀者,distinguishing between high-flyers；偏口语，阅读识别即可。,不建议,仅阅读识别|教育主题,偏口语，阅读识别即可。,1,2026-04-24
20260424-009,2026-04-24,词组,have bearing on sth,bbdc_screenshot_import_2026-04-24.md,have bearing in predicting graduation,对……有影响；与……有关,have bearing in predicting graduation；固定搭配应记为 `have bearing on`，写作加分。,适合,写作友好|议论文常用|固定搭配|教育主题,固定搭配应记为 `have bearing on`，写作加分。,1,2026-04-24
20260424-010,2026-04-24,单词,attribute,bbdc_screenshot_import_2026-04-24.md,attributes such as attendance and self-regulation,特质；属性,attributes such as attendance and self-regulation；比 `quality` 更正式，适合描述能力、特征、品质。,适合,写作友好|议论文常用|教育主题,比 `quality` 更正式，适合描述能力、特征、品质。,1,2026-04-24
20260424-011,2026-04-24,词组,pick up,bbdc_screenshot_import_2026-04-24.md; 2026-06-22-2011-english-i-text-2.md,average grades pick up attributes; As the economy picks up,体现出；反映出；恢复；改善；好转,pick up 可表示“反映/捕捉到”，也可在经济语境中表示“恢复/好转”；本句 the economy picks up = 经济回升。,一般,阅读高频|固定搭配|教育主题|经济主题|熟词僻义|错句来源,pick up 不只表示“捡起”；经济语境中常译为“恢复 / 好转 / 回升”。,2,2026-06-22
20260424-012,2026-04-24,单词,likewise,bbdc_screenshot_import_2026-04-24.md,"Likewise, average grades pick up attributes",同样地；类似地,"Likewise, average grades pick up attributes；用于承接前文类似说明，阅读和写作都常见。",适合,写作友好|议论文常用|教育主题,用于承接前文类似说明，阅读和写作都常见。,1,2026-04-24
20260424-013,2026-04-24,单词,fade,bbdc_screenshot_import_2026-04-24.md,fading industrial competitiveness,衰退；减弱,fading industrial competitiveness；常用于竞争力、影响力、优势逐渐减弱。,一般,阅读高频|经济主题,常用于竞争力、影响力、优势逐渐减弱。,1,2026-04-24
20260424-014,2026-04-24,单词,signal,bbdc_screenshot_import_2026-04-24.md,offer a signal for top-tier schools,信号；判断依据,offer a signal for top-tier schools；学术语境中常指“可供判断的依据”。,一般,阅读高频|教育主题,学术语境中常指“可供判断的依据”。,1,2026-04-24
20260424-015,2026-04-24,单词,meaningful,bbdc_screenshot_import_2026-04-24.md,meaningful variation in test scores,有实际意义的；有参考价值的,meaningful variation in test scores；不是“意味深长”，而是“确实有用 / 有统计或现实意义”。,适合,写作友好|议论文常用|教育主题,不是“意味深长”，而是“确实有用 / 有统计或现实意义”。,1,2026-04-24
20260424-016,2026-04-24,词组,by contrast,bbdc_screenshot_import_2026-04-24.md,"By contrast, Mr Friedman says...",相比之下,"By contrast, Mr Friedman says...；典型对比连接词，适合议论文转折对照。",适合,写作友好|议论文常用|固定搭配|教育主题,典型对比连接词，适合议论文转折对照。,1,2026-04-24
20260424-017,2026-04-24,单词,impressive,bbdc_screenshot_import_2026-04-24.md,applicants with impressive grades,成绩亮眼的；令人印象深刻的,applicants with impressive grades；修饰成绩、表现、成果都可用，但不算高级核心词。,一般,阅读高频|教育主题,修饰成绩、表现、成果都可用，但不算高级核心词。,1,2026-04-24
20260424-018,2026-04-24,单词,distinguish,bbdc_screenshot_import_2026-04-24.md,distinguish between applicants,区分；辨别,distinguish between applicants；常用搭配是 `distinguish between A and B`。,一般,阅读高频|教育主题,常用搭配是 `distinguish between A and B`。,1,2026-04-24
20260424-019,2026-04-24,单词,inflation,bbdc_screenshot_import_2026-04-24.md,grade inflation,膨胀；虚高,grade inflation；这里指“成绩虚高”，不是通货膨胀。,一般,阅读高频|教育主题,这里指“成绩虚高”，不是通货膨胀。,1,2026-04-24
20260424-020,2026-04-24,单词,variation,bbdc_screenshot_import_2026-04-24.md,variation in grades,差异；变化幅度,variation in grades；在本文中指学生成绩之间拉开的差距。,一般,阅读高频|教育主题,在本文中指学生成绩之间拉开的差距。,1,2026-04-24
20260424-021,2026-04-24,单词,selective,bbdc_screenshot_import_2026-04-24.md,how selective the university is,筛选性强的；录取严格的,how selective the university is；教育话题中表示学校录取筛选程度。,一般,阅读高频|教育主题,教育话题中表示学校录取筛选程度。,1,2026-04-24
20260424-022,2026-04-24,单词,race,bbdc_screenshot_import_2026-04-24.md,"controlling for gender, race and parental income",种族,"controlling for gender, race and parental income；社会统计语境中的背景变量，阅读识别即可。",不建议,仅阅读识别|教育主题|社会主题,社会统计语境中的背景变量，阅读识别即可。,1,2026-04-24
